title,term,tf-idf
오늘 저녁으로 무엇을 먹을까2,저녁,6.615898091862153
굵고 부드럽고 상쾌하게! 쾌변은 튼튼한 장에서 나온다1,쾌변,6.50470188119393
우린 도대체 무얼 먹고 있는 걸까1,걸까,6.50470188119393
"콩 심은디 콩만 날까? 아니여, 생각을 바꿔보랑께1",콩,6.431222455335433
태백2,태백,6.408379342222732
태백4,태백,6.408379342222732
태백3,태백,6.408379342222732
태백1,태백,6.408379342222732
편집자주 이후 붙여주세요1,편집,6.323416841501576
먹고 마시는 것도 `궁합` 맞춰봐야1,궁합,6.24741529477905
"올 연말 선물, 건강기능식품으로 '훈훈하게'1",친구,6.178663532904084
[기고] 안전의식 생활화로 사고 예방하자1,논평,6.115898091862153
[WT논평] The government war on choice1,논평,6.115898091862153
추억의 그 藥이 돌아온다1,추억,6.115898091862153
[WT논평] Ending flaky trade barriers1,논평,6.115898091862153
잘사는 어촌1,어촌,6.115898091862153
[WT논평] Hydrocarbon Appreciation Day1,논평,6.115898091862153
"인구 크게 는 달성군, 행정조직 확대 개편1",논평,6.115898091862153
[WT논평] Smoke signals from CVS1,논평,6.115898091862153
[WT논평] Labeling foods with genetic fears1,논평,6.115898091862153
[WT논평] Legislating self-control1,논평,6.115898091862153
시도 때도 없이 큰 일을 치르고 싶다?1,시도,6.00470188119393
착한 운전1,운전,5.908379342222732
"자면서도 콜록콜록·쌕쌕…우리 아이, 혹시 천식?1",천식,5.908379342222732
부고1,부고,5.7844155855009385
결혼2,결혼,5.7844155855009385
英 '말고기 햄버거' 파문에 유럽 전역 시끌1,시선,5.7844155855009385
[부고]3,부고,5.7844155855009385
[부고]4,부고,5.7844155855009385
[부고]1,부고,5.7844155855009385
FTA 10년 교훈과 한-중 FTA1,교훈,5.7844155855009385
엄마표 천연조미료 솔솔~ …똑똑한 내아이의 '건강밥상'1,부고,5.7844155855009385
결혼1,결혼,5.7844155855009385
누가 배를 침몰시키나1,침몰,5.74741529477905
증평 201,증평,5.678663532904083
10만~20만원대1,원대,5.678663532904083
"미원, 58년만에 확 바꿨다1",미원,5.646598364194225
[Nutrition & Beauty] 노화는 피할수 없지만 늦출수는 있다1,노화,5.646598364194225
"뜨거운 감자, GMO1",감자,5.50470188119393
지금이 제철!2,제철,5.431281187029294
지금이 제철!1,제철,5.431281187029294
"""굴비 신선한지 볼까…""1",굴비,5.431281187029294
부음.1,부음,5.386182282543505
