,Topic,Count,Name,Keywords
135,127,22,127_ledger_ledgers_algorand_stateless,ledger ledgers algorand stateless cryptoassets connectionchain private transactions databases ethereum
134,124,22,124_drl_reinforcement_iiot_computation,drl reinforcement iiot computation allocation tasks resource offloading cpql learning
133,125,22,125_job_recruitment_candidates_competencies,job recruitment candidates competencies resume applicants resumes employers workforce skills
132,126,22,126_oil_gas_wells_coal,oil gas wells coal industry sf6 production wellhead crude drilling
131,128,22,128_firmware_update_device_updates,firmware update device updates devices iot manufacturer ocf version suit
130,129,22,129_dapps_dapp_classification_bugs,dapps dapp classification bugs traffic cqnet graphdapp applications accuracy classifier
129,130,22,130_ponzi_schemes_detection_scams,ponzi schemes detection scams investors dataset contracts ethereum mtcformer sadponzi
127,132,22,132_nfts_nft_tokens_ownership,nfts nft tokens ownership art nba assets unicon erc721 museums
126,133,22,133_egovernance_government_egovernment_ogd,egovernance government egovernment ogd citizens governments departments governance administration estonia
125,134,22,134_art_artists_artworks_artwork,art artists artworks artwork artist gallery galleries collectors painting paintings
128,131,22,131_knowledge_translation_ontology_openkg,knowledge translation ontology openkg graph graphs base sentences rdf synonymy
136,135,21,135_bgp_route_rpki_blockjack,bgp route rpki blockjack prefix routing roachain hijacking ases prefixes
137,136,21,136_sustainability_bioeconomy_goals_sdgs,sustainability bioeconomy goals sdgs software agenda sustainable development research carbon
141,139,20,139_islamic_sukuk_fintech_zakah,islamic sukuk fintech zakah finance book ibf financial issuances institutions
142,138,20,138_block_chain_master_accounting,block chain master accounting bonus vmi diggers assault pmo points
143,137,20,137_propagation_relay_block_blocks,propagation relay block blocks bitcoin delay nodes percentile network keyblock
140,142,20,142_ships_maritime_mass_ship,ships maritime mass ship vessel vessels mooring cargo buoys entities
139,141,20,141_rfid_tag_tags_identification,rfid tag tags identification radio frequency abac sct ownership package
138,140,20,140_pos_stake_pow_proofofstake,pos stake pow proofofstake vrf proof ouroboros adversary pixel peercoin
144,143,19,143_pollution_air_pollutants_spikes,pollution air pollutants spikes pmss monitoring quality emissions pollutant contaminants
145,144,19,144_crowdfunding_campaigns_project_funds,crowdfunding campaigns project funds campaign funding money investors projects scps
146,145,19,145_loyalty_customers_lp_points,loyalty customers lp points lps customer programs program bcoip motivations
147,146,19,146_fees_fee_miners_confirmation,fees fee miners confirmation transaction transactions game users mp gsp
148,147,19,147_d2d_devicetodevice_caching_cache,d2d devicetodevice caching cache task communication resource target bdmec csi
149,148,19,148_accountability_transparency_government_seat,accountability transparency government seat administration eservices gdpr reporting methodologies article
150,149,18,149_kyc_customer_banks_kycsystem,kyc customer banks kycsystem customers knowyourcustomer process kycrequirements know bank
151,150,18,150_loan_lending_borrowers_flash,loan lending borrowers flash p2p collateral lenders alleviation funds loaning
158,152,17,152_forensics_evidence_investigation_iot,forensics evidence investigation iot devices fifiot iof byod investigators forensic
157,151,17,151_ct_using_optimization_steel,ct using optimization steel excitation manufacturing turning aisi lpm grinding
156,153,17,153_lorawan_lora_lpwan_join,lorawan lora lpwan join lpwa gateways lpwans wide nbiot bcwan
155,154,17,154_leasing_big_ci_analytics,leasing big ci analytics iot travis agility things business industry
154,155,17,155_dag_tangle_iota_graph,dag tangle iota graph directed acyclic fluid dagbench parasite width
152,157,17,157_marketplace_marketplaces_rides_trading,marketplace marketplaces rides trading dtidm iot tides monetization streams collections
153,156,17,156_iota_hfbf_latency_tangle,iota hfbf latency tangle throughput iot abacus tactics transaction address
159,158,16,158_queues_consumption_workloads_datacenters,queues consumption workloads datacenters centers n1 power powerstar workload energy
161,161,16,161_ecdsa_signature_curve_sds,ecdsa signature curve sds elliptic signatures bls12381 multiplication ed25519 hbs
162,159,16,159_rpa_automation_ui_robotic,rpa automation ui robotic process routines airpa ai robots tasks
160,160,16,160_ride_driver_riders_rider,ride driver riders rider ridesharing drivers rhs fare passenger service
166,168,15,168_dlts_cooperation_shared_ledger,dlts cooperation shared ledger principles credit scm ecommerce cde trust
168,163,15,163_oracle_oracles_voters_onchaining,oracle oracles voters onchaining traces defi patterns score test executions
167,164,15,164_mpc_computation_parties_penalties,mpc computation parties penalties protocol protocols output fairness multiparty polynomial
169,162,15,162_chameleon_hash_immutability_collisionresistance,chameleon hash immutability collisionresistance trapdoor collision functions rpch function pch
165,166,15,166_blood_donation_donor_donors,blood donation donor donors bdsc hospitals kidney supply cold b2b
164,167,15,167_reality_ar_vr_connectivity,reality ar vr connectivity arvr shrimps survey communication vslam shrimp
163,165,15,165_ransomware_ransom_ransoms_victim,ransomware ransom ransoms victim rap victims bitcoin hmms families payments
171,171,14,171_lottery_randomness_lotteries_numbers,lottery randomness lotteries numbers random verifiable fairness games generation game
172,172,14,172_advertising_ads_ida_advertisements,advertising ads ida advertisements advertisers sex ad adreports sanpa television
173,173,14,173_dao_daos_autonomous_governance,dao daos autonomous governance organizations decentralized organization holographic daostack communities
174,174,14,174_teaching_education_students_using,teaching education students using learning educational college higher colleges conference
175,175,14,175_scalability_respect_big_web,scalability respect big web challenge registries smartphones adoption domains solutions
176,176,14,176_author_writings_name_fig,author writings name fig writers publishers editorial authors bradbury sajjad
177,177,14,177_antenna_radio_wireless_fwns,antenna radio wireless fwns lte ghz estimation networks beamforming ofdm
178,178,14,178_sports_spectators_sport_exercise,sports spectators sport exercise player events athletes fitness injury copyright
179,169,14,169_email_spam_emails_im,email spam emails im sagabc messaging sms phishing sender messages
170,170,14,170_signing_contract_ttp_fairness,signing contract ttp fairness signatories signature signers claves sony protocol
183,181,13,181_pufs_puf_physical_pufchain,pufs puf physical pufchain unclonable authentication crps device functions responses
184,179,13,179_twin_twins_dts_bdtd,twin twins dts bdtd dt digital aas twinchain bspdp manufacturing
181,183,13,183_scts_validators_miners_miner,scts validators miners miner rainblock block renoir transactions execution threads
182,180,13,180_bc_iot_mofbc_ebm,bc iot mofbc ebm gv toplayer baselayer bcs abm qc
180,182,13,182_libraries_library_trainings_archives,libraries library trainings archives archivists national exploration nigeria librarians knowledge
185,184,12,184_invoice_invoices_reimbursement_factoring,invoice invoices reimbursement factoring financing liquidity auctioning registration tamperproofness insurance
186,185,12,185_ldpc_codes_symbols_decoder,ldpc codes symbols decoder coding dispersal da nodes code k2
187,186,12,186_malware_classification_iomt_accuracy,malware classification iomt accuracy bcmpbridmpl baismdt stomach brain machine diagnosis
188,187,12,187_osc_reproducibility_science_cyberinfrastructure,osc reproducibility science cyberinfrastructure research testers evidence artifacts provenance qptdat
189,188,12,188_erp_enterprise_planning_resource,erp enterprise planning resource esop aiss tpr erps company benefits
190,189,12,189_defi_blockeye_lending_finance,defi blockeye lending finance borrower imm loans debt ecosystem dascontract
191,190,12,190_malaysia_intention_factors_utaut2,malaysia intention factors utaut2 respondents bitcoin acceptance cryptocurrency attitude adoption
196,193,11,193_steganography_cover_steganalysis_kasm,steganography cover steganalysis kasm concealment receiver files stegosystem multimedia channel
199,191,11,191_entrepreneurship_entrepreneurs_gem_lithuania,entrepreneurship entrepreneurs gem lithuania malta colleges universities economy venture countries
198,192,11,192_ai_aiot_intelligence_iot,ai aiot intelligence iot mirror artificial things aiml architecture isoiec
197,194,11,194_internetofmoney_airbnb_uber_routers,internetofmoney airbnb uber routers guests money strangers decloud hosts overlay
194,197,11,197_swap_crosschain_swaps_herlihy,swap crosschain swaps herlihy assets protocol parties vertex vertexes rswap
195,196,11,196_bank_time_grading_queue,bank time grading queue module transactions service impatience mm1 pay
193,198,11,198_esp_csp_stackelberg_esps,esp csp stackelberg esps game miners resource equilibrium provider mining
192,195,11,195_botnet_botnets_bots_botmaster,botnet botnets bots botmaster command dustbot autobotcatcher lnbot c2 channel
200,199,10,199_forestry_timber_wood_teak,forestry timber wood teak trees forest deforestation species forests itd
201,200,10,200_dpos_nodes_consensus_senate,dpos nodes consensus senate quantum agent delegated senators stake delegates
202,201,10,201_randomness_beacon_beacons_pseudorandomness,randomness beacon beacons pseudorandomness ahfs reconfiguration random randao randgene drb
203,202,10,202_gecko_renewal_leakage_encryption,gecko renewal leakage encryption aontrs privacy scheme prngs dispersal protection
204,203,10,203_dust_fruitchain_probability_prism,dust fruitchain probability prism miners forks fruits antidust nakamoto pda
205,204,10,204_resilience_disruption_bescs_supply,resilience disruption bescs supply firms chain sc connectivity disruptions covid19
