,Rank,Frequency,Rank X Frequency
커,390,690,269100
총,391,688,269008
적극,392,688,269696
없이,393,688,270384
인치,394,684,269496
자체,395,683,269785
계,396,681,269676
구성,397,680,269960
무선,398,679,270242
열리,399,678,270522
이용자,400,678,271200
본격,401,677,271477
SW,402,676,271752
서,403,673,271219
안정,404,670,270680
신규,405,667,270135
대해,406,666,270396
허브,407,663,269841
결합,408,659,268872
집중,409,659,269531
상품,410,658,269780
스타트업,411,657,270027
발전,412,656,270272
가지,413,656,270928
구조,414,655,271170
달,415,654,271410
화질,416,654,272064
처음,417,651,271467
문화,418,651,272118
팀,419,648,271512
반도체,420,648,272160
이사,421,648,272808
맞,422,647,273034
가운데,423,646,273258
중요,424,645,273480
이날,425,644,273700
자동,426,641,273066
빅,427,640,273280
C,428,640,273920
좋,429,640,274560
제작,430,638,274340
는다,431,638,274978
직접,432,637,275184
경험,433,637,275821
요금,434,637,276458
할인,435,635,276225
내용,436,634,276424
볼,437,633,276621
아마존,438,633,277254
성공,439,632,277448
넘,440,629,276760
인수,441,629,277389
인텔,442,627,277134
선택,443,626,277318
인증,444,626,277944
공동,445,624,277680
행사,446,621,276966
소프트웨어,447,621,277587
웨어,448,621,278208
소프트,449,620,278380
이벤트,450,619,278550
설치,451,618,278718
올레드,452,618,279336
색,453,617,279501
광고,454,615,279210
분,455,614,279370
상태,456,613,279528
통합,457,611,279227
비,458,610,279380
경쟁력,459,610,279990
구매,460,609,280140
결제,461,607,279827
공급,462,607,280434
카카오,463,607,281041
성과,464,606,281184
미디어,465,603,280395
전체,466,603,280998
생활,467,603,281601
공식,468,602,281736
바,469,601,281869
입니다,470,599,281530
요금제,471,596,280716
준비,472,593,279896
곳,473,590,279070
물론,474,588,278712
대응,475,587,278825
조직,476,586,278936
위치,477,586,279522
역할,478,585,279630
가치,479,585,280215
페이,480,584,280320
보인다,481,582,279942
전기,482,582,280524
하지만,483,580,280140
융합,484,580,280720
율,485,580,281300
R,486,579,281394
공간,487,578,281486
만큼,488,575,280600
온,489,573,280197
속도,490,573,280770
차세대,491,570,279870
동안,492,570,280440
효율,493,569,280517
개막,494,567,280098
스토어,495,567,280665
전시,496,566,280736
시각,497,565,280805
열,498,565,281370
본부,499,564,281436
연임,500,564,282000
카드,501,559,280059
또한,502,558,280116
쏠,503,556,279668
교육,504,556,280224
비전,505,556,280780
발생,506,555,280830
건,507,552,279864
제시,508,548,278384
주도,509,541,275369
제어,510,541,275910
이익,511,541,276451
단계,512,539,275968
왔,513,539,276507
역량,514,538,276532
냉장고,515,537,276555
네트워크,516,536,276576
관심,517,535,276595
이미,518,535,277130
생각,519,535,277665
육성,520,534,277680
프로그램,521,532,277172
경영,522,529,276138
영역,523,529,276667
넥,524,529,277196
실적,525,529,277725
이미지,526,528,277728
기간,527,523,275621
비롯,528,521,275088
자리,529,519,274551
공장,530,519,275070
쇼핑,531,518,275058
니,532,517,275044
K,533,517,275561
실시간,534,513,273942
딥,535,513,274455
제도,536,512,274432
프라임,537,512,274944
나노,538,512,275456
거래,539,512,275968
주목,540,511,275940
연구원,541,511,276451
센서,542,508,275336
전문가,543,508,275844
부사장,544,508,276352
현장,545,507,276315
퀀텀,546,507,276822
com,547,506,276782
효과,548,505,276740
지금,549,504,276696
진출,550,499,274450
선정,551,495,272745
선보였,552,495,273240
자신,553,494,273182
안전,554,494,273676
뒤,555,491,272505
먼,556,491,272996
일반,557,490,272930
컴퓨터,558,490,273420
작년,559,490,273910
부분,560,489,273840
UHD,561,489,274329
의미,562,488,274256
세대,563,486,273618
테,564,486,274104
과정,565,485,274025
줄,566,484,273944
방문,567,484,274428
속,568,482,273776
스피커,569,480,273120
함,570,479,273030
전용,571,477,272367
혜택,572,477,272844
창업,573,477,273321
넷,574,477,273798
닷,575,476,273700
뉴시스,576,476,274176
쉽,577,475,274075
규제,578,474,273972
운전자,579,474,274446
역시,580,474,274920
지원금,581,473,274813
방안,582,471,274122
법,583,470,274010
처리,584,470,274480
LCD,585,470,274950
단,586,469,274834
프로젝트,587,468,274716
개월,588,468,275184
였,589,467,275063
보호,590,467,275530
활동,591,466,275406
바탕,592,464,274688
사업자,593,464,275152
전화,594,462,274428
특징,595,462,274890
표현,596,462,275352
결정,597,461,275217
이런,598,457,273286
뱅크,599,457,273743
러블,600,456,273600
새,601,455,273455
모습,602,455,273910
종,603,455,274365
유지,604,454,274216
오픈,605,454,274670
인기,606,453,274518
방향,607,453,274971
씨,608,452,274816
올,609,452,275268
길,610,452,275720
부품,611,451,275561
각각,612,451,276012
웹,613,451,276463
M,614,450,276300
패널,615,450,276750
MS,616,450,277200
노트북,617,450,277650
재,618,448,276864
해서,619,447,276693
향후,620,446,276520
또는,621,446,276966
특허,622,446,277412
사운드,623,445,277235
인간,624,444,277056
앞서,625,443,276875
O,626,443,277318
동시,627,442,277134
양자,628,442,277576
높이,629,441,277389
수행,630,440,277200
차별,631,440,277640
소재,632,439,277448
브랜드,633,438,277254
시키,634,436,276424
사실,635,436,276860
계약,636,436,277296
형태,637,435,277095
확산,638,433,276254
가입자,639,433,276687
째,640,432,276480
선도,641,432,276912
과제,642,432,277344
페이스북,643,431,277133
데일리,644,431,277564
장치,645,430,277350
불,646,427,275842
통한,647,426,275622
사전,648,424,274752
보이,649,423,274527
제한,650,423,274950
해결,651,421,274071
요구,652,420,273840
등장,653,420,274260
첨단,654,420,274680
현대차,655,420,275100
많이,656,420,275520
마이크,657,419,275283
실제,658,419,275702
여러,659,419,276121
비교,660,419,276540
호텔,661,417,275637
대형,662,416,275392
선,663,415,275145
러닝,664,415,275560
부스,665,415,275975
음악,666,414,275724
업데이트,667,414,276138
HD,668,413,275884
아시아,669,412,275628
마케팅,670,412,276040
진,671,411,275781
기회,672,411,276192
측,673,410,275930
비용,674,410,276340
확장,675,410,276750
기본,676,409,276484
질,677,407,275539
주변,678,405,274590
노력,679,405,274995
플레이,680,405,275400
활성,681,404,275124
해당,682,402,274164
기획,683,402,274566
스스로,684,402,274968
청소기,685,402,275370
내놓,686,401,275086
률,687,401,275487
는지,688,400,275200
의사,689,400,275600
다시,690,399,275310
국민,691,399,275709
BMW,692,399,276108
플렉스,693,399,276507
촬영,694,399,276906
눈,695,398,276610
지적,696,397,276312
일부,697,397,276709
창출,698,397,277106
상용,699,397,277503
비서,700,396,277200
체계,701,396,277596
파악,702,396,277992
내부,703,396,278388
바로,704,395,278080
과학부,705,394,277770
장비,706,393,277458
발굴,707,393,277851
세탁기,708,393,278244
잡,709,393,278637
전환,710,393,279030
황창규,711,393,279423
박람회,712,393,279816
가입,713,392,279496
수요,714,391,279174
이유,715,389,278135
퀄컴,716,389,278524
차원,717,388,278196
야,718,388,278584
X,719,388,278972
합니다,720,387,278640
사이,721,387,279027
IP,722,386,278692
공유,723,386,279078
B,724,385,278740
방침,725,384,278400
스,726,383,278058
참가,727,382,277714
인력,728,382,278096
윈도,729,382,278478
빠르,730,381,278130
오전,731,380,277780
은행,732,379,277428
선보이,733,378,277074
u,734,377,276718
벤처,735,377,277095
채널,736,376,276736
작업,737,376,277112
엔터,738,376,277488
표준,739,375,277125
잘,740,375,277500
이어,741,374,277134
보여,742,374,277508
최적,743,374,277882
애플리케이션,744,374,278256
중소기업,745,374,278630
얻,746,373,278258
담,747,373,278631
아직,748,372,278256
반영,749,372,278628
담당,750,371,278250
드론,751,370,277870
인사,752,370,278240
당,753,369,277857
수출,754,369,278226
나라,755,368,277840
전국,756,368,278208
HDR,757,368,278576
임직원,758,368,278944
가정,759,367,278553
외,760,367,278920
따른,761,367,279287
각,762,367,279654
자료,763,366,279258
아닌,764,366,279624
번역,765,366,279990
설계,766,365,279590
향상,767,365,279955
맡,768,364,279552
박,769,364,279916
그러나,770,364,280280
조정,771,363,279873
예약,772,362,279464
GB,773,362,279826
의료,774,362,280188
영화,775,361,279775
패밀리,776,361,280136
어떤,777,359,278943
나가,778,359,279302
비즈니스,779,359,279661
실,780,359,280020
당시,781,358,279598
비디아,782,358,279956
유저,783,358,280314
선보인다,784,357,279888
크기,785,357,280245
일정,786,357,280602
제조,787,356,280172
검색,788,356,280528
직원,789,356,280884
으면,790,355,280450
준다,791,355,280805
대신,792,355,281160
개최,793,355,281515
도전,794,354,281076
협업,795,354,281430
펀드,796,354,281784
손,797,353,281341
란,798,353,281694
판단,799,353,282047
수익,800,353,282400
능력,801,352,281952
사이트,802,352,282304
신청,803,351,281853
주문,804,350,281400
가상현실,805,349,280945
삼,806,349,281294
단말기,807,349,281643
종합,808,349,281992
아이폰,809,348,281532
동력,810,347,281070
소니,811,347,281417
여기,812,346,280952
법인,813,346,281298
달리,814,345,280830
통신사,815,345,281175
평균,816,345,281520
실시,817,345,281865
유럽,818,344,281392
보유,819,343,280917
공격,820,343,281260
최신,821,343,281603
대학,822,341,280302
슈퍼,823,341,280643
장관,824,341,280984
상반기,825,339,279675
테스트,826,339,280014
각종,827,338,279526
설립,828,337,279036
맞춤,829,337,279373
P,830,337,279710
보도,831,336,279216
공공,832,336,279552
세,833,335,279055
기초,834,335,279390
처,835,334,278890
신년사,836,334,279224
우주,837,333,278721
예산,838,333,279054
치,839,333,279387
W,840,333,279720
점유,841,333,280053
후보,842,332,279544
전년,843,331,279033
나오,844,331,279364
알렉사,845,331,279695
다음,846,330,279180
대부분,847,329,278663
위해서,848,329,278992
무료,849,328,278472
요소,850,328,278800
급,851,326,277426
LTE,852,326,277752
오후,853,326,278078
작,854,325,277550
전시관,855,325,277875
덧붙였,856,324,277344
인프라,857,324,277668
편의,858,324,277992
프로세서,859,324,278316
독자,860,323,277780
화웨이,861,323,278103
지디,862,323,278426
간담회,863,322,277886
전했,864,321,277344
셀,865,321,277665
남,866,319,276254
조성,867,319,276573
갖,868,319,276892
AR,869,318,276342
참석,870,318,276660
우선,871,317,276107
비중,872,317,276424
듯,873,316,275868
본,874,315,275310
원인,875,315,275625
계속,876,315,275940
전력,877,315,276255
현대,878,315,276570
회,879,313,275127
연계,880,313,275440
놓,881,313,275753
새롭,882,313,276066
설정,883,313,276379
메모리,884,312,275808
현실,885,311,275235
심사,886,311,275546
별도,887,310,274970
사례,888,310,275280
발광,889,310,275590
먼저,890,309,275010
시험,891,309,275319
자유,892,309,275628
영향,893,309,275937
예측,894,308,275352
연동,895,308,275660
여부,896,308,275968
지난달,897,307,275379
지급,898,307,275686
번호,899,307,275993
안내,900,306,275400
케이블,901,306,275706
방통,902,306,276012
유통,903,305,275415
기계,904,305,275720
맞춰,905,304,275120
차지,906,304,275424
피해,907,304,275728
컨벤션,908,304,276032
방법,909,303,275427
CJ,910,303,275730
정확,911,302,275122
헝그리,912,302,275424
다면,913,301,274813
체험,914,301,275114
레노버,915,301,275415
밖,916,300,274800
협회,917,300,275100
총괄,918,300,275400
시청,919,300,275700
논의,920,299,275080
만든,921,299,275379
부처,922,299,275678
체제,923,299,275977
낮,924,298,275352
보급,925,298,275650
공항,926,298,275948
늘,927,297,275319
외부,928,297,275616
제조사,929,297,275913
경기,930,297,276210
한계,931,296,275576
자사,932,295,274940
쓰,933,295,275235
시연,934,295,275530
이달,935,294,274890
이제,936,294,275184
달성,937,294,275478
전기차,938,293,274834
콘셉트,939,293,275127
매장,940,292,274480
워시,941,291,273831
이하,942,290,273180
관측,943,289,272527
공정,944,289,272816
케어,945,289,273105
작동,946,289,273394
지도,947,289,273683
돌파,948,289,273972
장기,949,288,273312
경영자,950,288,273600
어야,951,287,272937
휴대폰,952,287,273224
특정,953,287,273511
버전,954,287,273798
하만,955,287,274085
선보일,956,286,273416
했으며,957,286,273702
수상,958,286,273988
체결,959,285,273315
소리,960,285,273600
변경,961,285,273885
김,962,285,274170
즐길,963,284,273492
학습,964,284,273776
재생,965,284,274060
병원,966,283,273378
제휴,967,283,273661
같이,968,283,273944
물질,969,282,273258
공략,970,282,273540
전달,971,282,273822
주력,972,282,274104
동영상,973,281,273413
감소,974,279,271746
화학,975,278,271050
만드,976,278,271328
사고,977,277,270629
힘,978,277,270906
알려졌,979,277,271183
상승,980,277,271460
플랫폼,981,277,271737
그래픽,982,277,272014
빛,983,276,271308
고려,984,276,271584
모니터링,985,276,271860
생태,986,275,271150
메탈,987,275,271425
트렌드,988,274,270712
로부터,989,273,269997
여행,990,273,270270
단장,991,273,270543
완성,992,273,270816
민간,993,273,271089
나갈,994,273,271362
T,995,272,270640
시그,996,272,270912
우수,997,272,271184
편리,998,271,270458
왼쪽,999,271,270729
해도,1000,270,270000
그동안,1001,270,270270
오디오,1002,270,270540
전면,1003,269,269807
포인트,1004,269,270076
이름,1005,268,269340
용량,1006,268,269608
검토,1007,268,269876
코드,1008,268,270144
연구자,1009,267,269403
집,1010,267,269670
오프라인,1011,267,269937
저장,1012,267,270204
이전,1013,267,270471
기사,1014,266,269724
울트라,1015,266,269990
공시,1016,265,269240
끌,1017,265,269505
품질,1018,265,269770
차이,1019,265,270035
나타났,1020,265,270300
입장,1021,265,270565
누구,1022,264,269808
업그레이드,1023,263,269049
인지,1024,263,269312
그리고,1025,262,268550
아울러,1026,262,268812
빠른,1027,262,269074
OS,1028,262,269336
배송,1029,262,269598
현상,1030,261,268830
바둑,1031,261,269091
프로,1032,260,268320
홈페이지,1033,260,268580
칩,1034,260,268840
라인,1035,259,268065
최,1036,259,268324
완벽,1037,259,268583
쿠폰,1038,258,267804
연속,1039,258,268062
이끌,1040,257,267280
층,1041,257,267537
액션,1042,257,267794
매년,1043,257,268051
엔진,1044,256,267264
초기,1045,256,267520
선임,1046,256,267776
접목,1047,255,266985
연구소,1048,255,267240
자원,1049,255,267495
가전제품,1050,255,267750
가족,1051,255,268005
부담,1052,255,268260
타,1053,254,267462
하루,1054,254,267716
대화,1055,254,267970
진화,1056,254,268224
연,1057,254,268478
이러,1058,253,267674
그램,1059,253,267927
무게,1060,253,268180
미션,1061,253,268433
대체,1062,252,267624
암호,1063,252,267876
파고,1064,252,268128
박정호,1065,252,268380
위원장,1066,252,268632
증권,1067,252,268884
캐릭터,1068,252,269136
IBM,1069,251,268319
개념,1070,251,268570
이르,1071,250,267750
색상,1072,250,268000
다운로드,1073,250,268250
유심,1074,250,268500
원장,1075,249,267675
환자,1076,249,267924
V,1077,249,268173
등록,1078,249,268422
독일,1079,247,266513
보험,1080,247,266760
대통령,1081,247,267007
특별,1082,247,267254
지구,1083,246,266418
시킬,1084,246,266664
실행,1085,246,266910
영국,1086,245,266070
도로,1087,245,266315
의지,1088,245,266560
인도,1089,244,265716
아이템,1090,244,265960
아이오,1091,244,266204
측면,1092,243,265356
건강,1093,242,264506
신년,1094,242,264748
다만,1095,242,264990
큐,1096,242,265232
기어,1097,242,265474
못하,1098,241,264618
표시,1099,241,264859
블랙,1100,241,265100
불과,1101,240,264240
저,1102,240,264480
액,1103,240,264720
스타,1104,239,263856
반응,1105,239,264095
언론,1106,238,263228
일자리,1107,238,263466
편,1108,238,263704
헬스,1109,238,263942
관한,1110,238,264180
진단,1111,237,263307
어느,1112,236,262432
m,1113,236,262668
임원,1114,236,262904
강력,1115,235,262025
kr,1116,235,262260
장착,1117,235,262495
반면,1118,235,262730
쇼,1119,235,262965
모바일게임,1120,235,263200
가량,1121,234,262314
요청,1122,234,262548
단말,1123,234,262782
삶,1124,233,261892
접속,1125,233,262125
약정,1126,233,262358
기술력,1127,233,262591
더라도,1128,233,262824
닉,1129,233,263057
이해,1130,232,262160
공학,1131,232,262392
밝,1132,231,261492
투입,1133,231,261723
관계,1134,231,261954
커뮤니티,1135,231,262185
물,1136,231,262416
풀,1137,230,261510
운전,1138,230,261740
셈,1139,230,261970
바이오,1140,230,262200
어서,1141,229,261289
워치,1142,229,261518
프레스,1143,229,261747
보내,1144,228,260832
도움,1145,228,261060
거쳐,1146,228,261288
조치,1147,228,261516
앤,1148,228,261744
출처,1149,228,261972
중앙,1150,227,261050
목소리,1151,227,261277
상대,1152,227,261504
메시지,1153,226,260578
부족,1154,226,260804
펀딩,1155,226,261030
위험,1156,225,260100
대폭,1157,225,260325
대거,1158,224,259392
제보,1159,224,259616
시행,1160,224,259840
비해,1161,223,258903
g,1162,223,259126
채용,1163,223,259349
어렵,1164,223,259572
치열,1165,222,258630
고도,1166,222,258852
뇌,1167,222,259074
일상,1168,221,258128
신설,1169,221,258349
에선,1170,221,258570
불편,1171,221,258791
머니,1172,221,259012
생,1173,220,258060
절감,1174,220,258280
연간,1175,220,258500
하드웨어,1176,220,258720
최종,1177,220,258940
코,1178,220,259160
전장,1179,219,258201
망,1180,219,258420
명령,1181,218,257458
주장,1182,218,257676
뜻,1183,218,257894
www,1184,218,258112
투명,1185,218,258330
테크,1186,218,258548
판,1187,217,257579
완료,1188,217,257796
컨퍼런스,1189,217,258013
지상파,1190,216,257040
위기,1191,216,257256
리니지,1192,216,257472
하반기,1193,215,256495
휴대,1194,215,256710
태블릿,1195,215,256925
창작자,1196,215,257140
규정,1197,215,257355
간편,1198,215,257570
IPTV,1199,215,257785
등급,1200,214,256800
의견,1201,214,257014
newsis,1202,214,257228
우려,1203,213,256239
램,1204,212,255248
공기,1205,212,255460
제기,1206,212,255672
롭,1207,212,255884
나왔,1208,212,256096
차단,1209,212,256308
이외,1210,212,256520
고자,1211,212,256732
매체,1212,212,256944
시점,1213,211,255943
못했,1214,211,256154
서버,1215,211,256365
사용자,1216,211,256576
신임,1217,211,256787
화소,1218,210,255780
디바이스,1219,210,255990
시범,1220,210,256200
특성,1221,210,256410
터치,1222,210,256620
도시,1223,209,255607
마다,1224,208,254592
안드로이드,1225,208,254800
백,1226,208,255008
죠,1227,208,255216
존재,1228,208,255424
주방,1229,208,255632
봇,1230,207,254610
모듈,1231,207,254817
구체,1232,207,255024
대해서,1233,207,255231
지식,1234,207,255438
알리,1235,206,254410
막,1236,206,254616
예,1237,206,254822
무엇,1238,206,255028
갖춘,1239,206,255234
으로써,1240,206,255440
발,1241,206,255646
돌비,1242,206,255852
이슈,1243,205,254815
추정,1244,205,255020
돕,1245,205,255225
완전,1246,205,255430
소통,1247,205,255635
사항,1248,205,255840
환불,1249,205,256045
미,1250,204,255000
씩,1251,204,255204
소비,1252,204,255408
투데이,1253,204,255612
관람객,1254,204,255816
한층,1255,203,254765
분리,1256,203,254968
유기,1257,203,255171
감,1258,203,255374
로서,1259,202,254318
조건,1260,202,254520
자연,1261,202,254722
개편,1262,202,254924
거의,1263,202,255126
정치,1264,202,255328
운행,1265,202,255530
H,1266,202,255732
시무식,1267,202,255934
매우,1268,201,254868
겪,1269,201,255069
테슬라,1270,201,255270
컴퓨팅,1271,201,255471
만나,1272,201,255672
가상,1273,200,254600
비슷,1274,200,254800
시켜,1275,200,255000
네,1276,200,255200
자금,1277,200,255400
스포츠,1278,199,254322
가속,1279,199,254521
나온다,1280,199,254720
복잡,1281,199,254919
모드,1282,199,255118
시기,1283,199,255317
권영수,1284,199,255516
방지,1285,199,255715
선보인,1286,199,255914
버튼,1287,199,256113
대전,1288,198,255024
가진,1289,198,255222
보고서,1290,198,255420
과거,1291,198,255618
전반,1292,198,255816
갈,1293,198,256014
미세,1294,198,256212
화제,1295,198,256410
기념,1296,198,256608
소스,1297,198,256806
증강현실,1298,197,255706
치료,1299,197,255903
정,1300,197,256100
음향,1301,197,256297
카텔,1302,196,255192
국내외,1303,196,255388
기후,1304,196,255584
홍보,1305,196,255780
싶,1306,196,255976
밝기,1307,195,254865
특화,1308,195,255060
언어,1309,194,253946
대로,1310,194,254140
글,1311,194,254334
청소,1312,194,254528
양,1313,193,253409
아야,1314,193,253602
차기,1315,193,253795
