Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
32,10.0,0.4239,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",device communication party instruction management resource subset memory host interface
33,9.0,0.384,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",message key content argument receiver access knowledge manifest communication implication
34,0.0,0.6538,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity representation identifier measurements signature plurality embodiments proof ledger implements
35,4.0,0.8414,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",currency settlement network reserve transactions issuance circulation amount release herein
36,10.0,0.5753,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",documents Embodiments document security files algorithms storage archival classes level
37,8.0,0.946,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",environment sensor structure device network input environments networks storage service
38,11.0,0.7134,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",IO requests request portion file portions execution Execution Respective finishes
39,5.0,0.407,"service, server, client, target, application, provider, response, identifier, access, result",dialog application payment site merchant purchase posting networking initiation item
40,10.0,0.6541,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",parties portions integrity possession operation secret cases code codes circuitry
41,2.0,0.5125,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",vehicle sensor computer models engine client comparison acceleration speeds timestamps
42,10.0,0.6844,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",rewrites operation key party parties secret cases entities possession series
43,4.0,0.4996,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction match identifier transactions computer request intermediary storage service ledger
44,5.0,0.6472,"service, server, client, target, application, provider, response, identifier, access, result",linket app link Registry linkets device queries network engine dialog
45,10.0,0.5206,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",transaction creation profile transactions structure respect deviation comprising detection computer
46,7.0,0.3255,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",CMOS circuits processors SCMOS transistors communication ii metal components IC
47,10.0,0.5488,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",food type measurements preference score signals herein values cues andor
48,5.0,0.4223,"service, server, client, target, application, provider, response, identifier, access, result",device video connection storage location session network chat transmitting implementation
49,6.0,0.7416,"entity, record, event, database, profile, item, records, ledger, response, trust",relationship transaction transactions fraud entities cluster items entity retrieval expansion
50,4.0,0.3751,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",terminal cryptocurrency payment transaction vault PIN service authentication machines code
51,6.0,0.3709,"entity, record, event, database, profile, item, records, ledger, response, trust",identification timeline authentication identifications questions signatures facts ledger computer invention
52,5.0,0.5157,"service, server, client, target, application, provider, response, identifier, access, result",payment purchase site interface interaction browser application purchasing transmitting intent
53,0.0,0.8813,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",party transaction aspect modification disclosure key storage service ledger server
54,10.0,0.3581,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",voting invention vote scanner barcode network client interface storage prevent
55,0.0,0.4831,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",template authentication fragments server pieces storage version computer fraudster point
56,8.0,0.7433,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",subsystem packet payload key output timestamp request program operations security
57,0.0,0.6955,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",hash infrastructure entity path registration verification node parameters record signature
58,6.0,0.7498,"entity, record, event, database, profile, item, records, ledger, response, trust",sanction entities transactions routine limit subsets graphlets warning retrieval examples
59,8.0,0.8215,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",processor device Internet Thing operation secure IoT contracts wireless camera
60,0.0,0.4904,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",device security message interface wallet techniques key display response beacon
61,1.0,0.957,"content, file, document, media, hash, ID, ledger, metadata, software, container",seal document object portion metadata instances andor originality eg Techniques
62,1.0,0.957,"content, file, document, media, hash, ID, ledger, metadata, software, container",seal document object portion metadata instances andor originality eg Techniques
63,6.0,0.5244,"entity, record, event, database, profile, item, records, ledger, response, trust",circuit document review module expertise experts engine memory expert environment
64,4.0,0.6589,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction amount message account identifier authorization fiat profile element risk
65,1.0,0.5107,"content, file, document, media, hash, ID, ledger, metadata, software, container",stream identification streams segments facilitates contract alignment procedure sensors relates
66,10.0,0.711,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",operating choices levels need proof ownership context Network authorities roots
67,0.0,0.5038,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",input storage facility transactions hash key certification entity device identity
68,7.0,0.6548,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",lock drone level signal verification authentication person access request response
69,9.0,0.3698,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",consensus record voting assets stake spending peers disclosure ledger parties
70,6.0,0.9199,"entity, record, event, database, profile, item, records, ledger, response, trust",behavior interactions profile cyber medium handling monitoring node key storage
71,11.0,0.76,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",subset segments memory plurality device highersecurity requests values fields storage
72,10.0,0.536,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",access graph controller elements details accesses nodes connection token verification
73,0.0,0.6934,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key location pair report network ledger devices plurality validation credits
74,4.0,0.9496,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",assets quantity shares participant price share accounts products quantities Shares
75,1.0,0.3099,"content, file, document, media, hash, ID, ledger, metadata, software, container",object structure card item structures share side techniques face herein
76,4.0,0.9441,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",assets participant quantity shares accounts asset program exchange quantities Shares
77,9.0,0.6002,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",network message node key repository ledger service server computer nodes
78,5.0,0.7044,"service, server, client, target, application, provider, response, identifier, access, result",passcode application input lock server algorithm locking interface ID database
79,5.0,0.5613,"service, server, client, target, application, provider, response, identifier, access, result",payment browser service merchant site API request input confirmation event
80,5.0,0.5918,"service, server, client, target, application, provider, response, identifier, access, result",payment site response request browser dialog messenger input application API
81,10.0,0.7068,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",superplatform trust platforms enduser entities andor consumers consumer level marketplace
82,7.0,0.3852,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",fingerprint hash processor scanner string storage element minutia feature salt
83,10.0,0.4284,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",object tether host environment secure access permission container eg storage
84,4.0,0.5486,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",payment transfer money application devices device account recipient requests herein
85,3.0,0.4534,"image, object, input, target, feature, code, identification, result, parameter, images",tracks activity FMV chatmessages target graphs platform detecting targets video
86,3.0,0.4399,"image, object, input, target, feature, code, identification, result, parameter, images",test package infrastructure operation application applications configuration nodes network request
87,10.0,0.7597,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",control invention embodiments object remote controls order authentication device authority
88,10.0,0.8933,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",network entities theft risk strategies Tools authenticity connections sources identities
89,8.0,0.7563,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",subsystem packet payload key output timestamp request program operations security
90,10.0,0.5485,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",control context resource element dataset structure device node security algorithm
91,0.0,0.6539,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key member domain transaction pair plurality network keys values transactions
92,6.0,0.4971,"entity, record, event, database, profile, item, records, ledger, response, trust",item collector creator image server authentication ownership record authenticity profiles
93,10.0,0.6853,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",andor algorithm methodology compliance management resource requirement processes interface b
94,3.0,0.6629,"image, object, input, target, feature, code, identification, result, parameter, images",video image face recognition detection authentication heartbeat points combination Heartbeat
95,9.0,0.3784,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",message key content argument receiver access knowledge manifest communication implication
96,11.0,0.4601,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",unit proof structure hash index Merkle tree ledger hashes belongs
97,10.0,0.933,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",rewrites conditions core cases parts blocks validity circuitry parties node
98,3.0,0.6565,"image, object, input, target, feature, code, identification, result, parameter, images",MR sample signals instructions scans scanning voxels signature differences magneticresonance
99,10.0,0.6236,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",devices messages embodiments device resource instructions communicating message entity nodes
100,10.0,0.6287,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",message embodiments instructions device package functionality access contents invention resource
101,10.0,0.389,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",hash chameleon blocks randomness circuitry party possession parties operation secret
102,10.0,0.5029,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",blocks codes rewrites integrity parties series Integrity key party secret
103,4.0,0.9441,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",assets participant quantity shares accounts asset program exchange quantities Shares
104,4.0,0.9496,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",assets quantity shares participant price share accounts products quantities Shares
105,8.0,0.8537,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",environment sensor structure device network input environments networks storage service
106,10.0,0.7549,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",ledger secure embodiments device ability types phones channel Aspects module
107,10.0,0.5938,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",access entityuser logic security resources tag token network presentation entity
108,0.0,0.8824,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",individuals verification addresses identity identifiers multifactor requests Verification connection identities
109,10.0,0.8016,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",transactions capability computer program variety accountability payment confidentiality entities types
110,0.0,0.3534,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity record network node reference documents entity hashes Embodiments type
111,6.0,0.7542,"entity, record, event, database, profile, item, records, ledger, response, trust",meeting record contract attendees documentation actions contracts attendee activities computer
112,10.0,0.3115,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",behaviors opinions beliefs participation effort length capability sets choice share
113,7.0,0.5234,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",shards index grid storage schemes shard redundancy row herein Techniques
114,6.0,0.4716,"entity, record, event, database, profile, item, records, ledger, response, trust",entry record procedure consensus BMC circuitry acceleration management submission hardware
115,3.0,0.8898,"image, object, input, target, feature, code, identification, result, parameter, images",redundancy scheme elements input layers coding amount relative entity characteristics
116,7.0,0.3224,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",object signals RF zone aspect frequencies vehicles communications radio control
117,7.0,0.6502,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",packages package packaging device printer printing storage module processes items
118,1.0,0.6959,"content, file, document, media, hash, ID, ledger, metadata, software, container",update revocation security structure object updates segments response collection identifies
119,3.0,0.6331,"image, object, input, target, feature, code, identification, result, parameter, images",input site object field interface response browser node key storage
120,4.0,0.9496,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",assets quantity shares participant price share accounts products quantities Shares
121,0.0,0.6388,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",security protection signature invention hash PUF function marking field herein
122,0.0,0.6332,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",PUF step response signal reader protection device challenge security output
123,0.0,0.599,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",DNS trust object embodiments ability service anchor verifier root interest
124,5.0,0.3573,"service, server, client, target, application, provider, response, identifier, access, result",server client function N template exponentiation root modulo portion codes
125,8.0,0.6892,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",CID signals RF communication applications security trigger radiofrequency asset event
126,0.0,0.5865,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",hash key device Logic verifies logic database transaction network transmits
127,11.0,0.4888,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",display series header code file identifying blocks software device Software
128,2.0,0.5108,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",agents object cargo property zone objects load deck unit properties
129,0.0,0.5353,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",transaction key request node database identifier decryption storage medium computer
130,3.0,0.5192,"image, object, input, target, feature, code, identification, result, parameter, images",code algorithm replacement N patch object IHS algorithms modification subset
131,10.0,0.7964,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",resource transfer pools network quantity type pool register paths leg
132,10.0,0.3822,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",resources entity transfer indication transaction terminal resource herein products computer
133,4.0,0.7414,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",amount currency account transaction message profile element address plurality fiat
134,3.0,0.4929,"image, object, input, target, feature, code, identification, result, parameter, images",tokenization token content object Tokenization Service Provider URL link redaction
135,10.0,0.5293,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",storage functionality ledgers differences records measurement separation security transaction networks
136,8.0,0.5977,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",processor camera wireless IoT sensors Internet Thing body accelerometer device
137,8.0,0.767,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",processor device Internet Thing operation secure IoT contracts wireless camera
138,9.0,0.3097,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",FPGA capability device update image operating runtime license software stack
139,8.0,0.5045,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",device resource devices deficiency plurality communication channel memory custodian usage
140,10.0,0.7537,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",devices need device inventory parties associations invention portal program aggregation
141,6.0,0.6914,"entity, record, event, database, profile, item, records, ledger, response, trust",relationship transaction transactions fraud entities cluster items entity retrieval expansion
142,7.0,0.5027,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",access point GSM location device database flight computer vibration antenna
143,4.0,0.5911,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction template account card credit debit authentication request response conflicting
144,10.0,0.3521,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",engines codeword codes stream decoding plurality bits applications values speeds
145,5.0,0.464,"service, server, client, target, application, provider, response, identifier, access, result",page linket messages author app ad device topic username student
146,1.0,0.4488,"content, file, document, media, hash, ID, ledger, metadata, software, container",document graph structure command nodes attacker node key storage service
147,10.0,0.5042,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",device security person variant embodiment transaction structures wireless variants entity
148,9.0,0.7437,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",message procedure request servers UI TCE REPN node client PN
149,8.0,0.5977,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",processor device Internet Thing operation secure IoT contracts wireless camera
150,3.0,0.5536,"image, object, input, target, feature, code, identification, result, parameter, images",apparatus person image level affinity measurement device degree sensor relationship
151,0.0,0.7065,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",device certificate endpoint service authority discovery request enrollment profile gateway
152,0.0,0.6216,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",nonce string device response communication subscriber channel server secure home
153,0.0,0.3656,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity wallet ledger devices wallets exchange facilities techniques broker access
154,4.0,0.5452,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transactions payment customer merchant currency supports advantage service benefits delays
155,8.0,0.408,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",device messages functionality network core activation Activation functions property operator
156,5.0,0.4511,"service, server, client, target, application, provider, response, identifier, access, result",transaction party provider service records network discrepancy transactions identification generates
157,1.0,0.3829,"content, file, document, media, hash, ID, ledger, metadata, software, container",virus signature score signatures document malware engines implementations ledger validation
158,6.0,0.9199,"entity, record, event, database, profile, item, records, ledger, response, trust",behavior interactions profile cyber medium handling monitoring node key storage
159,8.0,0.7563,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",subsystem packet payload key output timestamp request program operations security
160,1.0,0.5224,"content, file, document, media, hash, ID, ledger, metadata, software, container",key file printer files distribution controller printers ledger object access
161,8.0,0.3379,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",device communication party instruction management resource subset memory host interface
162,6.0,0.9276,"entity, record, event, database, profile, item, records, ledger, response, trust",event response mobile apparatus Communication existence incident location proof Existence
163,4.0,0.5147,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transfer device storage bundle shards amount remainder redundancy span capabilities
164,1.0,0.7438,"content, file, document, media, hash, ID, ledger, metadata, software, container",update revocation security structure object updates segments response collection identifies
165,6.0,0.567,"entity, record, event, database, profile, item, records, ledger, response, trust",event module memory proctor plurality applications changes location products index
166,6.0,0.5709,"entity, record, event, database, profile, item, records, ledger, response, trust",entity validation event challenge access requesting asset hash procedure representation
167,4.0,0.7801,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",asset keys account cards accounts identifier reference plurality card secure
168,6.0,0.5949,"entity, record, event, database, profile, item, records, ledger, response, trust",event module memory proctor plurality applications changes location products index
169,1.0,0.3464,"content, file, document, media, hash, ID, ledger, metadata, software, container",application container implementations key transactions request transaction network node containers
170,6.0,0.5477,"entity, record, event, database, profile, item, records, ledger, response, trust",log records entries sequence plurality values memory position virtue hash
171,10.0,0.4523,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",entity devices entities type communication invention identity embodiments addition IoT
172,9.0,0.3814,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",service ADEPT peer providers consensus peertopeer orders contracts needs peers
173,5.0,0.5358,"service, server, client, target, application, provider, response, identifier, access, result",password service registry breach provider token providers access actor passwords
174,0.0,0.9164,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",issuer key signature device identity transaction request verification storage invention
175,4.0,0.4144,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",payment service transaction instrument instruments techniques request message disclosure customer
176,6.0,0.7866,"entity, record, event, database, profile, item, records, ledger, response, trust",contribution identifier distribution consuming association request operation client provider validation
177,5.0,0.4511,"service, server, client, target, application, provider, response, identifier, access, result",device security service gateway fingerprint outofband check repository health agent
178,5.0,0.9214,"service, server, client, target, application, provider, response, identifier, access, result",service PII provider registry descriptor organizations database type identity node
179,10.0,0.5728,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",network client configuration settings conditions device sets application server connection
180,11.0,0.4696,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",transaction match identifier transactions computer request intermediary storage service ledger
181,0.0,0.4353,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",plurality shares security service devices device subset copy authentication access
182,2.0,0.6416,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",device target patientuser MCU sensor center alert utilization recordation surveillance
183,10.0,0.6354,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",invention monitor monitors computer sensor conflicting plurality backup security log
184,10.0,0.5325,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",profile session channels interactions characteristics plurality usage architectures patterns embodiments
185,5.0,0.5398,"service, server, client, target, application, provider, response, identifier, access, result",application database highersecurity access request destination security databases attacker code
186,7.0,0.6865,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",shards shard grid storage index representation Techniques herein plurality device
187,10.0,0.5435,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",transaction storage resource repository publishing issuance transactions correspondence computer nodes
188,11.0,0.8727,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",header entries plurality transaction subnet subnets blocks pair hash sequence
189,10.0,0.4701,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",enterprise Learning Deep situation training risks learning order problem sets
190,4.0,0.3673,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",credit node storage identifier sources contract organization device ledger actions
191,8.0,0.5504,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",network traffic devices rules engine controls criteria destination source plurality
192,4.0,0.404,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",resources customers control ownership transfer service account triggers periods multiple
193,0.0,0.4384,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",authentication device response service request devices transactions behalf identity embodiment
194,10.0,0.6416,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",resource transfer event resources memory reallocation protocol protocols processor module
195,6.0,0.2763,"entity, record, event, database, profile, item, records, ledger, response, trust",values hash records input node tree evaluations authentication combination nodes
196,0.0,0.8926,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key access pairs pair algorithm generation keys signal request derivation
197,0.0,0.4891,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",certificate identity smart identification contract timestamp object combination certificates issuer
198,4.0,0.4074,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",payment cryptocurrency token device instruction wallet key transaction PIN fingerprint
199,8.0,0.4816,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",network contract smart blocks transactions synchronization difference parameter pluralities storage
200,11.0,0.4391,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",storage selector embodiments devices correlation implements modes random host selects
201,10.0,0.4649,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",segment security engine LSAS status response action message metrics environment
202,10.0,0.764,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",parties portions integrity possession operation secret cases code codes circuitry
203,10.0,0.4643,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",transactions contract sideeffects actions accounting execution ledger methodologies inputs key
204,4.0,0.8531,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",payment cryptocurrency service merchant balance customer currency transaction transfer record
205,7.0,0.5442,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",shards storage grid index shard object location Techniques datacenters herein
206,1.0,0.5303,"content, file, document, media, hash, ID, ledger, metadata, software, container",document recipients transaction submitter editor approval approver modification keys computer
207,10.0,0.8824,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",solutions modules description life communications community needs answers plurality Beyond
208,10.0,0.5022,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",instrument resource availability distribution invention database resources network communication amount
209,0.0,0.9139,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",individuals verification addresses identity identifiers multifactor requests Verification connection identities
210,0.0,0.4384,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",storage cryptography node key authentication device routine invention tampering receipt
211,6.0,0.9239,"entity, record, event, database, profile, item, records, ledger, response, trust",attribute device destination attributes entity comparison record action indication key
212,11.0,0.4031,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",files hash values operations network blocks storage turn API nodes
213,0.0,0.3569,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",store entities content units access plurality request causing log processors
214,1.0,0.5601,"content, file, document, media, hash, ID, ledger, metadata, software, container",segments encryption servers file segment secure retrieval recombination presents size
215,3.0,0.4716,"image, object, input, target, feature, code, identification, result, parameter, images",tokenization token content object Tokenization Service Provider URL link redaction
216,0.0,0.5049,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",network vSIM account device certificate services devices vSIMs Subscriber client
217,9.0,0.3801,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",message server component email stores participants messaging validation database records
218,5.0,0.5183,"service, server, client, target, application, provider, response, identifier, access, result",site link destination browser merchant transition interaction object advertisement experience
219,0.0,0.5865,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",certificate identity smart identification contract timestamp object combination certificates issuer
